TimestampMarket,TotalEquity,TotalContributions,IncomeValue,SwingEquity,SwingCash,SwingMarketValue,TaxReserve,IncomeWeight,TargetIncomeWeight,OpenPositions,PendingEntries,ActiveRisk
2024-12-31T15:00:00-05:00,3264.91334790,1300.00000000,282.98842982,2981.92491808,36.87435837,2223.48000000,721.57055971,0.1112663347,0.1250000000,1,0,87.43300661
2024-12-31T15:15:00-05:00,3231.53455451,1300.00000000,284.04963643,2947.48491808,36.87435837,2189.04000000,721.57055971,0.1131688092,0.1250000000,1,1,87.43300661
2024-12-31T15:30:00-05:00,3243.63932476,1300.00000000,283.55440668,2960.08491808,36.87435837,2201.64000000,721.57055971,0.1124292924,0.1250000000,1,1,87.43300661
2024-12-31T15:45:00-05:00,3291.02409501,1300.00000000,283.05917693,3007.96491808,36.87435837,2249.52000000,721.57055971,0.1101631818,0.1250000000,1,1,87.43300661
2025-01-02T09:30:00-05:00,3464.23394537,1300.00000000,319.24978683,3144.98415854,2359.38617596,0.00000000,785.59798258,0.1191837156,0.1250000000,0,6,0.00000000
2025-01-02T09:45:00-05:00,3464.79915797,1300.00000000,321.50312538,3143.29603259,0.38365001,2357.31440000,785.59798258,0.1199996209,0.1250000000,2,2,60.14182099
2025-01-02T10:00:00-05:00,3456.24794462,1300.00000000,321.90631202,3134.34163259,0.38365001,2348.36000000,785.59798258,0.1205348198,0.1250000000,2,0,60.14182099
2025-01-02T10:15:00-05:00,3474.86308869,1300.00000000,320.37645610,3154.48663259,0.38365001,2368.50500000,785.59798258,0.1191316004,0.1250000000,2,1,60.14182099
2025-01-02T10:30:00-05:00,3478.28047350,1300.00000000,319.98534091,3158.29513259,0.38365001,2372.31350000,785.59798258,0.1188351549,0.1250000000,2,0,60.14182099
2025-01-02T10:45:00-05:00,3494.39999420,1300.00000000,320.69836161,3173.70163259,0.38365001,2387.72000000,785.59798258,0.1183912151,0.1250000000,2,2,60.14182099
2025-01-02T11:00:00-05:00,3473.81357386,1300.00000000,320.13744126,3153.67613259,0.38365001,2367.69450000,785.59798258,0.1190891989,0.1250000000,2,0,60.14182099
2025-01-02T11:15:00-05:00,3480.16166152,1300.00000000,320.98002893,3159.18163259,0.38365001,2373.20000000,785.59798258,0.1191213373,0.1250000000,2,1,58.47239293
2025-01-02T11:30:00-05:00,3467.11769971,1300.00000000,321.02026712,3146.09743259,0.38365001,2360.11580000,785.59798258,0.1197157959,0.1250000000,2,0,58.47239293
2025-01-02T11:45:00-05:00,3453.28975758,1300.00000000,321.33412499,3131.95563259,0.38365001,2345.97400000,785.59798258,0.1204539925,0.1250000000,2,3,58.47239293
2025-01-02T12:00:00-05:00,3467.65523435,1300.00000000,321.58360175,3146.07163259,0.38365001,2360.09000000,785.59798258,0.1199018409,0.1250000000,2,0,58.47239293
2025-01-02T12:15:00-05:00,3442.29959580,1300.00000000,319.33026320,3122.96933259,0.38365001,2336.98770000,785.59798258,0.1201980161,0.1250000000,2,0,58.47239293
2025-01-02T12:30:00-05:00,3439.86071551,1300.00000000,317.55978291,3122.30093259,0.38365001,2336.31930000,785.59798258,0.1196414277,0.1250000000,2,0,58.47239293
2025-01-02T12:45:00-05:00,3439.66016033,1300.00000000,317.83420736,3121.82595298,16.70362194,2319.35000000,785.77233104,0.1197617337,0.1250000000,1,0,58.47239293
2025-01-02T13:00:00-05:00,3411.45518727,1300.00000000,317.12923430,3094.32595298,16.70362194,2291.85000000,785.77233104,0.1207797178,0.1250000000,1,0,58.47239293
2025-01-02T13:15:00-05:00,3411.10798774,1300.00000000,317.33203477,3093.77595298,16.70362194,2291.30000000,785.77233104,0.1208729383,0.1250000000,1,0,58.47239293
2025-01-02T13:30:00-05:00,3402.90985669,1300.00000000,317.64025929,3085.26959741,2321.76600245,0.00000000,763.50359496,0.1203453458,0.1250000000,0,0,0.00000000
2025-01-02T14:00:00-05:00,3403.07080945,1300.00000000,317.80121204,3085.26959741,2321.76600245,0.00000000,763.50359496,0.1203989845,0.1250000000,0,0,0.00000000
2025-01-02T14:15:00-05:00,3403.69691566,1300.00000000,318.42731825,3085.26959741,2321.76600245,0.00000000,763.50359496,0.1206075766,0.1250000000,0,0,0.00000000
2025-01-02T14:30:00-05:00,3403.35247677,1300.00000000,318.08287936,3085.26959741,2321.76600245,0.00000000,763.50359496,0.1204928364,0.1250000000,0,0,0.00000000
2025-01-02T14:45:00-05:00,3403.15128583,1300.00000000,317.88168842,3085.26959741,2321.76600245,0.00000000,763.50359496,0.1204258013,0.1250000000,0,1,0.00000000
2025-01-02T15:00:00-05:00,3385.17043561,1300.00000000,319.33026320,3065.84017241,690.64357745,1611.69300000,763.50359496,0.1218042881,0.1250000000,1,2,102.04195358
2025-01-02T15:15:00-05:00,3371.99595209,1300.00000000,319.05181494,3052.94413716,0.47934220,2288.96120000,763.50359496,0.1223127275,0.1250000000,2,0,132.50748898
2025-01-02T15:30:00-05:00,3413.28783733,1300.00000000,318.84660018,3094.44123716,0.47934220,2330.45830000,763.50359496,0.1203292687,0.1250000000,2,1,132.50748898
2025-01-02T15:45:00-05:00,3479.42830942,1300.00000000,319.12907226,3160.29923716,0.47934220,2396.31630000,763.50359496,0.1175029155,0.1250000000,2,4,132.50748898
2025-01-03T09:30:00-05:00,3486.75777905,1300.00000000,322.46884190,3164.28893716,0.47934220,2400.30600000,763.50359496,0.1184130530,0.1250000000,2,4,132.50748898
2025-01-03T09:45:00-05:00,3448.47048764,1300.00000000,322.06485049,3126.40563716,0.47934220,2362.42270000,763.50359496,0.1199511440,0.1250000000,2,1,132.50748898
2025-01-03T10:00:00-05:00,3408.01625867,1300.00000000,321.89102151,3086.12523716,0.47934220,2322.14230000,763.50359496,0.1217203555,0.1250000000,2,1,132.50748898
2025-01-03T10:15:00-05:00,3354.81049166,1300.00000000,321.74455451,3033.06593716,0.47934220,2269.08300000,763.50359496,0.1241630449,0.1250000000,2,2,132.50748898
2025-01-03T10:30:00-05:00,3339.04491099,1300.00000000,322.22741277,3016.81749822,1566.59284592,724.90090000,725.32375230,0.1232830104,0.1250000000,1,3,30.46553540
2025-01-03T10:45:00-05:00,3325.69419487,1300.00000000,322.30788914,3003.38630572,1.02955342,2277.03300000,725.32375230,0.1239469131,0.1250000000,3,2,27.62718338
2025-01-03T11:00:00-05:00,3327.92774211,1300.00000000,322.14693639,3005.78080572,1.02955342,2279.42750000,725.32375230,0.1237786992,0.1250000000,3,3,27.62718338
2025-01-03T11:15:00-05:00,3325.18338147,1300.00000000,322.69417575,3002.48920572,1.02955342,2276.13590000,725.32375230,0.1241198456,0.1250000000,3,0,27.62718338
2025-01-03T11:30:00-05:00,3334.03573501,1300.00000000,323.19312929,3010.84260572,1.02955342,2284.48930000,725.32375230,0.1238899240,0.1250000000,3,1,27.62718338
2025-01-03T12:00:00-05:00,3328.02955867,1300.00000000,323.12955295,3004.90000572,1.02955342,2278.54670000,725.32375230,0.1241513936,0.1250000000,3,1,27.62718338
2025-01-03T12:30:00-05:00,3316.66964065,1300.00000000,323.19312929,2993.47651136,694.60144001,1571.55000000,727.32507135,0.1248165783,0.1250000000,2,0,27.62718338
2025-01-03T13:00:00-05:00,3319.15889817,1300.00000000,323.35488681,2995.80401136,694.60144001,1573.87750000,727.32507135,0.1247591120,0.1250000000,2,0,27.62718338
2025-01-03T13:15:00-05:00,3320.40702254,1300.00000000,323.59551117,2996.81151136,694.60144001,1574.88500000,727.32507135,0.1247918567,0.1250000000,2,2,27.62718338
2025-01-03T13:30:00-05:00,3319.59183431,1300.00000000,323.75646393,2995.83537039,0.96029904,2267.55000000,727.32507135,0.1248931894,0.1250000000,3,1,61.00209081
2025-01-03T13:45:00-05:00,3328.29588156,1300.00000000,323.59551117,3004.70037039,0.96029904,2276.41500000,727.32507135,0.1244133575,0.1250000000,3,1,61.00209081
2025-01-03T14:00:00-05:00,3329.16998660,1300.00000000,323.71461621,3005.45537039,0.96029904,2277.17000000,727.32507135,0.1244173372,0.1250000000,3,3,61.00209081
2025-01-03T14:15:00-05:00,3323.66217715,1300.00000000,323.74680676,2999.91537039,0.96029904,2271.63000000,727.32507135,0.1246936717,0.1250000000,3,0,61.00209081
2025-01-03T14:30:00-05:00,3330.25207250,1300.00000000,323.79670212,3006.45537039,0.96029904,2278.17000000,727.32507135,0.1243971506,0.1250000000,3,2,61.00209081
2025-01-03T14:45:00-05:00,3330.18602955,1300.00000000,323.75565916,3006.43037039,0.96029904,2278.14500000,727.32507135,0.1243845385,0.1250000000,3,0,61.00209081
2025-01-03T15:00:00-05:00,3342.29325794,1300.00000000,323.67598755,3018.61727039,0.96029904,2290.33190000,727.32507135,0.1237781741,0.1250000000,3,0,61.00209081
2025-01-03T15:15:00-05:00,3346.92135794,1300.00000000,323.67598755,3023.24537039,0.96029904,2294.96000000,727.32507135,0.1235594924,0.1250000000,3,2,61.00209081
2025-01-03T15:30:00-05:00,3346.35385766,1300.00000000,323.55768728,3022.79617039,0.96029904,2294.51080000,727.32507135,0.1235410962,0.1250000000,3,0,61.00209081
